name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime
Friern Barnet Community Library ,Friern Barnet Road,,,Barnet,,200044867,E09000003,Coppetts,E05000047,527950.7000731975,192137.57012939453,-0.15184292780019892,51.61303718567348,11/20/2022
Fore Street,Fore Street,Edmonton,,Enfield,,207015248,E09000010,Upper Edmonton,E05000212,534056.0001221001,192143.00012210011,-0.06370711752452511,51.61166506154803,11/20/2022
Mill Hill ,Hartley Avenue,,,Barnet,,200057669,E09000003,Mill Hill,E05000057,521739.79010009766,192190.3900756985,-0.24149010251579142,51.61488957721529,11/20/2022
Harold Hill Library,Hilldene Avenue,Romford,,Havering,,100023217029,E09000016,Gooshays,E05000310,553714.5701293945,192208.86010739952,0.22005353924990168,51.60723240877439,11/20/2022
Edgware ,Hale Lane,Edgware,,Barnet,,200220766,E09000003,Edgware,E05000050,519595.87011719495,192238.0200805962,-0.27242709703681056,51.61577734430174,11/20/2022
Angel Raynham,Raynham Avenue,Edmonton,,Enfield,,207017246,E09000010,Upper Edmonton,E05000212,534353.0001221001,192254.00012210011,-0.059377368501508695,51.61259182821021,11/20/2022
Bowes Road,Bowes Road,Southgate,,Enfield,,207045509,E09000010,Southgate Green,E05000209,529524.0001221001,192388.00012210011,-0.12903812471218698,51.61492809486726,11/20/2022
Stanmore,Stanmore Hill,Stanmore,,Harrow,,100023038856,E09000015,Stanmore Park,E05000303,516985.0001221001,192417.00012210011,-0.3100637171809983,51.617934854374425,11/20/2022
Palmers Green,Green Lanes,Southgate,,Enfield,,207015887,E09000010,Palmers Green,E05000205,530909.9100952,192440.99011229724,-0.10901066828895221,51.61508369495012,11/20/2022
Millfield House,Silver Street,Edmonton,,Enfield,,207180891,E09000010,Haselbury,E05000201,532934.0001221001,192584.00012210011,-0.07973604521855414,51.615894541263536,11/20/2022
North Finchley ,Ravensdale Avenue,,,Barnet,,200097082,E09000003,Woodhouse,E05000063,526381.3300780952,192658.68011479825,-0.17431092914352178,51.61807536195456,11/20/2022
South Chingford Community Library,Chingford Mount Road,Chingford,,Waltham Forest,,100023000149,E09000031,Valley,E05000607,537333.0001221001,192724.00012210011,-0.016176907112608375,51.61609652287696,11/20/2022
Edmonton Green,South Mall,Edmonton,,Enfield,,207189578,E09000010,Edmonton Green,E05000197,534523.0001221001,193461.00012210011,-0.05645990059783024,51.62339871447956,11/20/2022
Winchmore Hill,Green Lanes,Southgate,,Enfield,,207036897,E09000010,Winchmore Hill,E05000213,531716.0001221001,193889.00012210011,-0.09682909079705905,51.627909410026746,11/20/2022
Osidge,Brunswick Park Road,,,Barnet,,200140830,E09000003,Brunswick Park,E05000043,528206.9901122972,194011.44012449682,-0.14745717693680427,51.629820494658134,11/20/2022
Southgate Circus,High Street,Southgate,,Enfield,,207180633,E09000010,Southgate,E05000208,529641.0001221001,194056.00012210011,-0.1267316322466852,51.62989232448405,11/20/2022
North Chingford Library,The Green,Chingford,,Waltham Forest,,100022999962,E09000031,Chingford Green,E05000593,538716.0001221001,194437.00012210011,0.004466399531011997,51.6311517675269,11/20/2022
Ridge Avenue,Ridge Avenue,Southgate,,Enfield,,207111058,E09000010,Bush Hill Park,E05000194,532833.0001221001,194783.00012210011,-0.08035997394528918,51.635681382539474,11/20/2022
East Barnet ,Brookhill Road,Barnet,,Barnet,,200016111,E09000003,East Barnet,E05000048,527306.4201049954,195554.2100829929,-0.15990157841186542,51.64389091163575,11/20/2022
John Jackson,Agricola Place,Enfield,,Enfield,,207040251,E09000010,Southbury,E05000207,533875.0001221001,195840.00012210011,-0.06490625250981126,51.64493374445096,11/20/2022
Ponders End,High Street,Enfield,,Enfield,,207000261,E09000010,Ponders End,E05000206,535187.0001221001,195852.00012210011,-0.0459491574778582,51.64472765624105,11/20/2022
Oakwood,Bramley Road,Southgate,,Enfield,,207148238,E09000010,Cockfosters,E05000196,529531.0001221001,196106.00012210011,-0.12756128358988816,51.64834201718153,11/20/2022
Enfield Town,Church Street,Enfield,,Enfield,,207011262,E09000010,Grange,E05000200,532493.0001221001,196500.00012210011,-0.0846202179477749,51.65119270608855,11/20/2022
Chipping Barnet ,Stapylton Road,Barnet,,Barnet,,200107378,E09000003,High Barnet,E05000056,524281.2501221001,196788.26007079333,-0.2031656184359825,51.65565921489958,11/20/2022
Enfield Highway,Hertford Road,Enfield,,Enfield,,207035798,E09000010,Enfield Highway,E05000198,535152.0001221001,197376.00012210011,-0.0458656709829349,51.65843232144729,11/20/2022
Enfield Island Village,Island Centre Way,Enfield,,Enfield,,207193973,E09000010,Enfield Lock,E05000199,537269.0001221001,198492.00012210011,-0.014837633950501408,51.66794853399007,11/20/2022
Ordnance Unity Centre,Hertford Road,Enfield,,Enfield,,207144176,E09000010,Enfield Lock,E05000199,535676.0001221001,198853.00012210011,-0.037720476920057706,51.67157982081782,11/20/2022
Bullsmoor,Kempe Road,Enfield,,Enfield,,207178047,E09000010,Turkey Street,E05000211,534960.0001221001,199317.00012210011,-0.0478901529246998,51.67592228688173,11/20/2022
West Norwood Library and Picturehouse,1-7 Norwood High St,,,Lambeth,,010000446790,E09000022,Knight's Hill,E05000424,531887.0001221001,172127.00012210011,-0.10251098900206984,51.43228328818424,11/20/2022
